Time: 2022-12-01 13:53:01.901505161 UTC, Reqestes/sec: 4425, Avg Reqestes/sec: 4224
Time: 2022-12-01 13:53:03.076421304 UTC, Reqestes/sec: 5051, Avg Reqestes/sec: 4637
Time: 2022-12-01 13:53:04.076605979 UTC, Reqestes/sec: 4322, Avg Reqestes/sec: 4479
Time: 2022-12-01 13:53:05.205428614 UTC, Reqestes/sec: 4534, Avg Reqestes/sec: 4506
Time: 2022-12-01 13:53:06.205542893 UTC, Reqestes/sec: 4567, Avg Reqestes/sec: 4536
Time: 2022-12-01 13:53:07.205579203 UTC, Reqestes/sec: 4159, Avg Reqestes/sec: 4347
Time: 2022-12-01 13:53:08.205672849 UTC, Reqestes/sec: 5485, Avg Reqestes/sec: 4916
Time: 2022-12-01 13:53:09.213230535 UTC, Reqestes/sec: 5989, Avg Reqestes/sec: 5452
Time: 2022-12-01 13:53:10.213240342 UTC, Reqestes/sec: 6572, Avg Reqestes/sec: 6012
Time: 2022-12-01 13:53:11.213296235 UTC, Reqestes/sec: 5872, Avg Reqestes/sec: 5942
Time: 2022-12-01 13:53:12.213338963 UTC, Reqestes/sec: 6299, Avg Reqestes/sec: 6120
Time: 2022-12-01 13:53:13.213399078 UTC, Reqestes/sec: 5883, Avg Reqestes/sec: 6001
Time: 2022-12-01 13:53:14.213498458 UTC, Reqestes/sec: 6613, Avg Reqestes/sec: 6307
Time: 2022-12-01 13:53:15.213554231 UTC, Reqestes/sec: 5652, Avg Reqestes/sec: 5979
Time: 2022-12-01 13:53:16.213625317 UTC, Reqestes/sec: 6542, Avg Reqestes/sec: 6260
Time: 2022-12-01 13:53:17.213674628 UTC, Reqestes/sec: 6149, Avg Reqestes/sec: 6204
Time: 2022-12-01 13:53:18.304722269 UTC, Reqestes/sec: 3897, Avg Reqestes/sec: 5050
Time: 2022-12-01 13:53:19.339730368 UTC, Reqestes/sec: 3971, Avg Reqestes/sec: 4510
Time: 2022-12-01 13:53:20.339784832 UTC, Reqestes/sec: 4239, Avg Reqestes/sec: 4374
Time: 2022-12-01 13:53:21.388923198 UTC, Reqestes/sec: 4191, Avg Reqestes/sec: 4282
Time: 2022-12-01 13:53:22.389170022 UTC, Reqestes/sec: 4043, Avg Reqestes/sec: 4162
Time: 2022-12-01 13:53:23.389213928 UTC, Reqestes/sec: 5127, Avg Reqestes/sec: 4644
Time: 2022-12-01 13:53:24.389455559 UTC, Reqestes/sec: 4157, Avg Reqestes/sec: 4400
Time: 2022-12-01 13:53:34.321104441 UTC, Reqestes/sec: 456, Avg Reqestes/sec: 2428
Time: 2022-12-01 13:53:48.322255466 UTC, Reqestes/sec: 1, Avg Reqestes/sec: 1214
Time: 2022-12-01 13:54:21.064314103 UTC, Reqestes/sec: 1, Avg Reqestes/sec: 607
Server down at time: 2022-12-01 13:54:21.070636880 UTC
Time: 2022-12-01 13:54:31.065644263 UTC, Reqestes/sec: 0, Avg Reqestes/sec: 303
932
Time: 2022-12-01 13:51:49.495554116 UTC, Reqestes/sec: 5158, Avg Reqestes/sec: 5045
Time: 2022-12-01 13:51:50.495560591 UTC, Reqestes/sec: 5105, Avg Reqestes/sec: 5075
Time: 2022-12-01 13:51:51.495636338 UTC, Reqestes/sec: 4713, Avg Reqestes/sec: 4894
Time: 2022-12-01 13:51:52.495764750 UTC, Reqestes/sec: 4994, Avg Reqestes/sec: 4944
Time: 2022-12-01 13:51:53.497883575 UTC, Reqestes/sec: 4463, Avg Reqestes/sec: 4703
Time: 2022-12-01 13:51:54.497916269 UTC, Reqestes/sec: 4445, Avg Reqestes/sec: 4574
Time: 2022-12-01 13:51:55.497929450 UTC, Reqestes/sec: 4795, Avg Reqestes/sec: 4684
Time: 2022-12-01 13:51:56.498015414 UTC, Reqestes/sec: 4295, Avg Reqestes/sec: 4489
Time: 2022-12-01 13:51:57.498141531 UTC, Reqestes/sec: 4495, Avg Reqestes/sec: 4492
Time: 2022-12-01 13:51:58.498165728 UTC, Reqestes/sec: 4704, Avg Reqestes/sec: 4598
Time: 2022-12-01 13:51:59.498189797 UTC, Reqestes/sec: 4752, Avg Reqestes/sec: 4675
Time: 2022-12-01 13:52:00.498328574 UTC, Reqestes/sec: 4956, Avg Reqestes/sec: 4815
Time: 2022-12-01 13:52:01.498415777 UTC, Reqestes/sec: 4219, Avg Reqestes/sec: 4517
Time: 2022-12-01 13:52:02.498489930 UTC, Reqestes/sec: 4056, Avg Reqestes/sec: 4286
Time: 2022-12-01 13:52:03.498744391 UTC, Reqestes/sec: 4180, Avg Reqestes/sec: 4233
Time: 2022-12-01 13:52:04.498873690 UTC, Reqestes/sec: 4111, Avg Reqestes/sec: 4172
Time: 2022-12-01 13:52:05.499045199 UTC, Reqestes/sec: 4092, Avg Reqestes/sec: 4132
Time: 2022-12-01 13:52:06.499139204 UTC, Reqestes/sec: 4142, Avg Reqestes/sec: 4137
Time: 2022-12-01 13:52:07.499164539 UTC, Reqestes/sec: 4125, Avg Reqestes/sec: 4131
Time: 2022-12-01 13:52:08.499165071 UTC, Reqestes/sec: 4107, Avg Reqestes/sec: 4119
Time: 2022-12-01 13:52:09.499341604 UTC, Reqestes/sec: 4032, Avg Reqestes/sec: 4075
Time: 2022-12-01 13:52:10.499541135 UTC, Reqestes/sec: 4048, Avg Reqestes/sec: 4061
Time: 2022-12-01 13:52:11.499750828 UTC, Reqestes/sec: 4346, Avg Reqestes/sec: 4203
Time: 2022-12-01 13:52:12.499765419 UTC, Reqestes/sec: 4646, Avg Reqestes/sec: 4424
Time: 2022-12-01 13:52:13.533024335 UTC, Reqestes/sec: 4067, Avg Reqestes/sec: 4245
Time: 2022-12-01 13:52:14.533037010 UTC, Reqestes/sec: 4998, Avg Reqestes/sec: 4621
Time: 2022-12-01 13:52:15.533144786 UTC, Reqestes/sec: 6387, Avg Reqestes/sec: 5504
Time: 2022-12-01 13:52:16.546623384 UTC, Reqestes/sec: 6336, Avg Reqestes/sec: 5920
Time: 2022-12-01 13:52:17.548574331 UTC, Reqestes/sec: 6933, Avg Reqestes/sec: 6426
Time: 2022-12-01 13:52:18.548674682 UTC, Reqestes/sec: 7247, Avg Reqestes/sec: 6836
Time: 2022-12-01 13:52:19.548823924 UTC, Reqestes/sec: 6434, Avg Reqestes/sec: 6635
Time: 2022-12-01 13:52:20.548861188 UTC, Reqestes/sec: 7057, Avg Reqestes/sec: 6846
Time: 2022-12-01 13:52:21.548951587 UTC, Reqestes/sec: 6984, Avg Reqestes/sec: 6915
Time: 2022-12-01 13:52:22.549076599 UTC, Reqestes/sec: 7004, Avg Reqestes/sec: 6959
Time: 2022-12-01 13:52:23.549109900 UTC, Reqestes/sec: 6421, Avg Reqestes/sec: 6690
Time: 2022-12-01 13:52:24.549122301 UTC, Reqestes/sec: 6399, Avg Reqestes/sec: 6544
Time: 2022-12-01 13:52:25.549134167 UTC, Reqestes/sec: 4729, Avg Reqestes/sec: 5636
Time: 2022-12-01 13:52:26.549197428 UTC, Reqestes/sec: 4379, Avg Reqestes/sec: 5007
Time: 2022-12-01 13:52:27.650576984 UTC, Reqestes/sec: 4838, Avg Reqestes/sec: 4922
Time: 2022-12-01 13:52:28.650611483 UTC, Reqestes/sec: 4739, Avg Reqestes/sec: 4830
Time: 2022-12-01 13:52:29.650684529 UTC, Reqestes/sec: 4405, Avg Reqestes/sec: 4617
Time: 2022-12-01 13:52:30.650714962 UTC, Reqestes/sec: 5143, Avg Reqestes/sec: 4880
Time: 2022-12-01 13:52:31.650757668 UTC, Reqestes/sec: 4281, Avg Reqestes/sec: 4580
Time: 2022-12-01 13:52:32.650843888 UTC, Reqestes/sec: 4205, Avg Reqestes/sec: 4392
Time: 2022-12-01 13:52:33.650967814 UTC, Reqestes/sec: 3945, Avg Reqestes/sec: 4168
Time: 2022-12-01 13:52:34.654861415 UTC, Reqestes/sec: 4034, Avg Reqestes/sec: 4101
Time: 2022-12-01 13:52:35.654975942 UTC, Reqestes/sec: 4143, Avg Reqestes/sec: 4122
Time: 2022-12-01 13:52:36.655035800 UTC, Reqestes/sec: 5066, Avg Reqestes/sec: 4594
Time: 2022-12-01 13:52:37.655172696 UTC, Reqestes/sec: 3689, Avg Reqestes/sec: 4141
Time: 2022-12-01 13:52:38.655393346 UTC, Reqestes/sec: 3994, Avg Reqestes/sec: 4067
Time: 2022-12-01 13:52:39.655504290 UTC, Reqestes/sec: 4331, Avg Reqestes/sec: 4199
Time: 2022-12-01 13:52:40.655646293 UTC, Reqestes/sec: 3915, Avg Reqestes/sec: 4057
Time: 2022-12-01 13:52:41.657113699 UTC, Reqestes/sec: 4054, Avg Reqestes/sec: 4055
