Time: 2022-12-01 13:53:05.205412123 UTC, Reqestes/sec: 4534, Avg Reqestes/sec: 4507
Time: 2022-12-01 13:53:06.205483498 UTC, Reqestes/sec: 4567, Avg Reqestes/sec: 4537
Server down at time: 2022-12-01 13:53:07.061029513 UTC
Time: 2022-12-01 13:53:17.061141552 UTC, Reqestes/sec: 3228, Avg Reqestes/sec: 3882
Time: 2022-12-01 13:53:18.061317759 UTC, Reqestes/sec: 4090, Avg Reqestes/sec: 3986
Time: 2022-12-01 13:53:19.061477711 UTC, Reqestes/sec: 4128, Avg Reqestes/sec: 4057
Time: 2022-12-01 13:53:20.061515785 UTC, Reqestes/sec: 3670, Avg Reqestes/sec: 3863
Time: 2022-12-01 13:53:21.061664645 UTC, Reqestes/sec: 4405, Avg Reqestes/sec: 4134
Time: 2022-12-01 13:53:22.061687924 UTC, Reqestes/sec: 4004, Avg Reqestes/sec: 4069
Time: 2022-12-01 13:53:23.061763027 UTC, Reqestes/sec: 4180, Avg Reqestes/sec: 4124
Time: 2022-12-01 13:53:24.061795189 UTC, Reqestes/sec: 4276, Avg Reqestes/sec: 4200
Time: 2022-12-01 13:53:34.321135421 UTC, Reqestes/sec: 1962, Avg Reqestes/sec: 3081
Time: 2022-12-01 13:53:48.321953573 UTC, Reqestes/sec: 1, Avg Reqestes/sec: 1541
Server down at time: 2022-12-01 13:53:48.322583105 UTC
Time: 2022-12-01 13:53:58.322883521 UTC, Reqestes/sec: 0, Avg Reqestes/sec: 770
Time: 2022-12-01 13:54:21.065091931 UTC, Reqestes/sec: 1, Avg Reqestes/sec: 385
Time: 2022-12-01 13:54:31.066425139 UTC, Reqestes/sec: 1, Avg Reqestes/sec: 193
:51:28.555324915 UTC, Reqestes/sec: 3036, Avg Reqestes/sec: 3661
Time: 2022-12-01 13:51:29.555616120 UTC, Reqestes/sec: 2797, Avg Reqestes/sec: 3229
Time: 2022-12-01 13:51:30.555770672 UTC, Reqestes/sec: 2756, Avg Reqestes/sec: 2992
Time: 2022-12-01 13:51:31.555888458 UTC, Reqestes/sec: 2832, Avg Reqestes/sec: 2912
Time: 2022-12-01 13:51:32.556141208 UTC, Reqestes/sec: 2772, Avg Reqestes/sec: 2842
Time: 2022-12-01 13:51:33.556188056 UTC, Reqestes/sec: 2733, Avg Reqestes/sec: 2787
Time: 2022-12-01 13:51:37.382542255 UTC, Reqestes/sec: 2036, Avg Reqestes/sec: 2411
Time: 2022-12-01 13:51:38.382531271 UTC, Reqestes/sec: 1701, Avg Reqestes/sec: 2056
Time: 2022-12-01 13:51:39.382679881 UTC, Reqestes/sec: 4232, Avg Reqestes/sec: 3144
Time: 2022-12-01 13:51:40.382810934 UTC, Reqestes/sec: 4217, Avg Reqestes/sec: 3680
Time: 2022-12-01 13:51:41.383045773 UTC, Reqestes/sec: 4098, Avg Reqestes/sec: 3889
Time: 2022-12-01 13:51:42.383224871 UTC, Reqestes/sec: 4293, Avg Reqestes/sec: 4091
Time: 2022-12-01 13:51:43.383419229 UTC, Reqestes/sec: 4168, Avg Reqestes/sec: 4129
Time: 2022-12-01 13:51:44.383525275 UTC, Reqestes/sec: 4269, Avg Reqestes/sec: 4199
Time: 2022-12-01 13:51:45.471729126 UTC, Reqestes/sec: 5211, Avg Reqestes/sec: 4705
Time: 2022-12-01 13:51:46.471842626 UTC, Reqestes/sec: 5409, Avg Reqestes/sec: 5057
Time: 2022-12-01 13:51:47.471960353 UTC, Reqestes/sec: 4501, Avg Reqestes/sec: 4779
Time: 2022-12-01 13:51:48.495548618 UTC, Reqestes/sec: 5011, Avg Reqestes/sec: 4895
Time: 2022-12-01 13:51:49.495660498 UTC, Reqestes/sec: 5158, Avg Reqestes/sec: 5026
Time: 2022-12-01 13:51:50.495665289 UTC, Reqestes/sec: 5105, Avg Reqestes/sec: 5065
Time: 2022-12-01 13:51:51.495702218 UTC, Reqestes/sec: 4713, Avg Reqestes/sec: 4889
Time: 2022-12-01 13:51:52.495863159 UTC, Reqestes/sec: 4994, Avg Reqestes/sec: 4941
Time: 2022-12-01 13:51:53.498064809 UTC, Reqestes/sec: 4463, Avg Reqestes/sec: 4702
Time: 2022-12-01 13:51:54.498202861 UTC, Reqestes/sec: 4446, Avg Reqestes/sec: 4574
Time: 2022-12-01 13:51:55.498213329 UTC, Reqestes/sec: 4795, Avg Reqestes/sec: 4684
Time: 2022-12-01 13:51:56.498334481 UTC, Reqestes/sec: 4295, Avg Reqestes/sec: 4489
Time: 2022-12-01 13:51:57.498426715 UTC, Reqestes/sec: 4495, Avg Reqestes/sec: 4492
Time: 2022-12-01 13:51:58.498568777 UTC, Reqestes/sec: 4705, Avg Reqestes/sec: 4598
Time: 2022-12-01 13:51:59.498653895 UTC, Reqestes/sec: 4752, Avg Reqestes/sec: 4675
Time: 2022-12-01 13:52:00.498793837 UTC, Reqestes/sec: 4956, Avg Reqestes/sec: 4815
Server down at time: 2022-12-01 13:52:01.051502846 UTC
Time: 2022-12-01 13:52:11.051574028 UTC, Reqestes/sec: 2397, Avg Reqestes/sec: 3606
Time: 2022-12-01 13:52:12.051697509 UTC, Reqestes/sec: 4763, Avg Reqestes/sec: 4184
Time: 2022-12-01 13:52:13.051743015 UTC, Reqestes/sec: 4190, Avg Reqestes/sec: 4187
Time: 2022-12-01 13:52:14.075537612 UTC, Reqestes/sec: 4393, Avg Reqestes/sec: 4290
Time: 2022-12-01 13:52:15.080512919 UTC, Reqestes/sec: 5874, Avg Reqestes/sec: 5082
Time: 2022-12-01 13:52:16.082618740 UTC, Reqestes/sec: 6524, Avg Reqestes/sec: 5803
Time: 2022-12-01 13:52:17.082629361 UTC, Reqestes/sec: 6602, Avg Reqestes/sec: 6202
Time: 2022-12-01 13:52:18.082651654 UTC, Reqestes/sec: 7046, Avg Reqestes/sec: 6624
Time: 2022-12-01 13:52:19.082696221 UTC, Reqestes/sec: 7045, Avg Reqestes/sec: 6834
Time: 2022-12-01 13:52:20.082771450 UTC, Reqestes/sec: 6545, Avg Reqestes/sec: 6689
