Time: 2022-12-01 14:16:49.153466503 UTC, Reqestes/sec: 5228, Avg Reqestes/sec: 4948
Time: 2022-12-01 14:16:50.153659041 UTC, Reqestes/sec: 4000, Avg Reqestes/sec: 4474
Time: 2022-12-01 14:16:51.153704345 UTC, Reqestes/sec: 3881, Avg Reqestes/sec: 4177
Time: 2022-12-01 14:16:52.153842018 UTC, Reqestes/sec: 4599, Avg Reqestes/sec: 4388
Time: 2022-12-01 14:16:53.154005068 UTC, Reqestes/sec: 4107, Avg Reqestes/sec: 4247
Time: 2022-12-01 14:16:54.154091142 UTC, Reqestes/sec: 4056, Avg Reqestes/sec: 4151
Time: 2022-12-01 14:16:55.154198425 UTC, Reqestes/sec: 4799, Avg Reqestes/sec: 4475
Time: 2022-12-01 14:16:56.154249978 UTC, Reqestes/sec: 4580, Avg Reqestes/sec: 4527
Time: 2022-12-01 14:16:57.186622587 UTC, Reqestes/sec: 6958, Avg Reqestes/sec: 5742
Time: 2022-12-01 14:16:58.186710061 UTC, Reqestes/sec: 6913, Avg Reqestes/sec: 6327
Time: 2022-12-01 14:16:59.186998698 UTC, Reqestes/sec: 6717, Avg Reqestes/sec: 6522
Time: 2022-12-01 14:17:00.187064248 UTC, Reqestes/sec: 6215, Avg Reqestes/sec: 6368
Time: 2022-12-01 14:17:01.187129507 UTC, Reqestes/sec: 6765, Avg Reqestes/sec: 6566
Time: 2022-12-01 14:17:02.187167156 UTC, Reqestes/sec: 7010, Avg Reqestes/sec: 6788
Time: 2022-12-01 14:17:03.187209389 UTC, Reqestes/sec: 7343, Avg Reqestes/sec: 7065
Time: 2022-12-01 14:17:04.187227351 UTC, Reqestes/sec: 6492, Avg Reqestes/sec: 6778
Time: 2022-12-01 14:17:05.190563989 UTC, Reqestes/sec: 6345, Avg Reqestes/sec: 6561
Time: 2022-12-01 14:17:06.190640575 UTC, Reqestes/sec: 6330, Avg Reqestes/sec: 6445
Time: 2022-12-01 14:17:07.190789698 UTC, Reqestes/sec: 4811, Avg Reqestes/sec: 5628
Time: 2022-12-01 14:17:08.287216290 UTC, Reqestes/sec: 4119, Avg Reqestes/sec: 4873
Server down at time: 2022-12-01 14:17:08.535045462 UTC
Time: 2022-12-01 14:17:18.535117441 UTC, Reqestes/sec: 1236, Avg Reqestes/sec: 3054
Time: 2022-12-01 14:17:19.561914701 UTC, Reqestes/sec: 4210, Avg Reqestes/sec: 3632
Time: 2022-12-01 14:17:20.561946539 UTC, Reqestes/sec: 4957, Avg Reqestes/sec: 4294
Time: 2022-12-01 14:17:21.562007919 UTC, Reqestes/sec: 4382, Avg Reqestes/sec: 4338
Time: 2022-12-01 14:17:22.562137355 UTC, Reqestes/sec: 4415, Avg Reqestes/sec: 4376
Time: 2022-12-01 14:17:23.562184167 UTC, Reqestes/sec: 3700, Avg Reqestes/sec: 4038
Time: 2022-12-01 14:17:24.562333164 UTC, Reqestes/sec: 3924, Avg Reqestes/sec: 3981
Time: 2022-12-01 14:17:25.562460557 UTC, Reqestes/sec: 4385, Avg Reqestes/sec: 4183
Time: 2022-12-01 14:17:26.609927298 UTC, Reqestes/sec: 4563, Avg Reqestes/sec: 4373
Time: 2022-12-01 14:17:27.609945334 UTC, Reqestes/sec: 5200, Avg Reqestes/sec: 4786
Time: 2022-12-01 14:17:28.610036226 UTC, Reqestes/sec: 4320, Avg Reqestes/sec: 4553
Time: 2022-12-01 14:17:29.610165499 UTC, Reqestes/sec: 4574, Avg Reqestes/sec: 4563
Time: 2022-12-01 14:17:30.610275848 UTC, Reqestes/sec: 3987, Avg Reqestes/sec: 4275
Time: 2022-12-01 14:17:31.623072628 UTC, Reqestes/sec: 4767, Avg Reqestes/sec: 4521
Time: 2022-12-01 14:17:32.623122194 UTC, Reqestes/sec: 4205, Avg Reqestes/sec: 4363
Time: 2022-12-01 14:17:33.623215865 UTC, Reqestes/sec: 4775, Avg Reqestes/sec: 4569
Time: 2022-12-01 14:17:34.623246860 UTC, Reqestes/sec: 4400, Avg Reqestes/sec: 4484
Time: 2022-12-01 14:17:35.623333914 UTC, Reqestes/sec: 4759, Avg Reqestes/sec: 4621
Time: 2022-12-01 14:17:36.804097923 UTC, Reqestes/sec: 4703, Avg Reqestes/sec: 4662
