Time: 2022-12-01 14:17:26.295840841 UTC, Reqestes/sec: 4495, Avg Reqestes/sec: 4486
Time: 2022-12-01 14:17:27.296112568 UTC, Reqestes/sec: 4405, Avg Reqestes/sec: 4445
Time: 2022-12-01 14:17:28.295942345 UTC, Reqestes/sec: 4440, Avg Reqestes/sec: 4442
Time: 2022-12-01 14:17:29.296019382 UTC, Reqestes/sec: 4502, Avg Reqestes/sec: 4472
Time: 2022-12-01 14:17:30.300792193 UTC, Reqestes/sec: 4781, Avg Reqestes/sec: 4626
Time: 2022-12-01 14:17:31.300861526 UTC, Reqestes/sec: 4250, Avg Reqestes/sec: 4438
Time: 2022-12-01 14:17:32.300945989 UTC, Reqestes/sec: 4621, Avg Reqestes/sec: 4529
Time: 2022-12-01 14:17:33.329628293 UTC, Reqestes/sec: 4219, Avg Reqestes/sec: 4374
Time: 2022-12-01 14:17:34.329747848 UTC, Reqestes/sec: 4252, Avg Reqestes/sec: 4313
Time: 2022-12-01 14:17:35.329769500 UTC, Reqestes/sec: 4951, Avg Reqestes/sec: 4632
Time: 2022-12-01 14:17:36.329794050 UTC, Reqestes/sec: 4613, Avg Reqestes/sec: 4622
Time: 2022-12-01 14:17:37.329904424 UTC, Reqestes/sec: 4148, Avg Reqestes/sec: 4385
Time: 2022-12-01 14:17:38.342595795 UTC, Reqestes/sec: 4476, Avg Reqestes/sec: 4430
Time: 2022-12-01 14:17:39.414089701 UTC, Reqestes/sec: 4797, Avg Reqestes/sec: 4613
Time: 2022-12-01 14:17:40.424394659 UTC, Reqestes/sec: 4971, Avg Reqestes/sec: 4792
Time: 2022-12-01 14:17:41.424420912 UTC, Reqestes/sec: 4471, Avg Reqestes/sec: 4631
Time: 2022-12-01 14:17:42.424471163 UTC, Reqestes/sec: 4455, Avg Reqestes/sec: 4543
Time: 2022-12-01 14:17:43.424516480 UTC, Reqestes/sec: 4223, Avg Reqestes/sec: 4383
Time: 2022-12-01 14:17:44.424609623 UTC, Reqestes/sec: 4109, Avg Reqestes/sec: 4246
Time: 2022-12-01 14:17:45.485468507 UTC, Reqestes/sec: 4385, Avg Reqestes/sec: 4315
Time: 2022-12-01 14:17:46.485657127 UTC, Reqestes/sec: 5076, Avg Reqestes/sec: 4695
Time: 2022-12-01 14:17:47.485850638 UTC, Reqestes/sec: 4144, Avg Reqestes/sec: 4419
Time: 2022-12-01 14:17:48.485983730 UTC, Reqestes/sec: 4575, Avg Reqestes/sec: 4497
Time: 2022-12-01 14:17:49.486126756 UTC, Reqestes/sec: 4427, Avg Reqestes/sec: 4462
Time: 2022-12-01 14:17:50.486183786 UTC, Reqestes/sec: 4300, Avg Reqestes/sec: 4381
Time: 2022-12-01 14:17:51.486219169 UTC, Reqestes/sec: 4475, Avg Reqestes/sec: 4428
Time: 2022-12-01 14:17:52.486242193 UTC, Reqestes/sec: 7000, Avg Reqestes/sec: 5714
Time: 2022-12-01 14:17:53.486273763 UTC, Reqestes/sec: 6959, Avg Reqestes/sec: 6336
Time: 2022-12-01 14:17:54.486332145 UTC, Reqestes/sec: 6276, Avg Reqestes/sec: 6306
Time: 2022-12-01 14:17:55.486377484 UTC, Reqestes/sec: 6856, Avg Reqestes/sec: 6581
Time: 2022-12-01 14:17:56.486462625 UTC, Reqestes/sec: 7039, Avg Reqestes/sec: 6810
Time: 2022-12-01 14:17:57.486470636 UTC, Reqestes/sec: 6890, Avg Reqestes/sec: 6850
Time: 2022-12-01 14:17:58.491581939 UTC, Reqestes/sec: 6931, Avg Reqestes/sec: 6890
Time: 2022-12-01 14:17:59.491803385 UTC, Reqestes/sec: 5887, Avg Reqestes/sec: 6388
Time: 2022-12-01 14:18:00.491891827 UTC, Reqestes/sec: 7109, Avg Reqestes/sec: 6748
Time: 2022-12-01 14:18:01.511428866 UTC, Reqestes/sec: 5943, Avg Reqestes/sec: 6345
Time: 2022-12-01 14:18:02.511798281 UTC, Reqestes/sec: 4650, Avg Reqestes/sec: 5497
Time: 2022-12-01 14:18:03.511841791 UTC, Reqestes/sec: 4304, Avg Reqestes/sec: 4900
Time: 2022-12-01 14:18:04.552689234 UTC, Reqestes/sec: 4564, Avg Reqestes/sec: 4732
Time: 2022-12-01 14:18:05.552702060 UTC, Reqestes/sec: 4998, Avg Reqestes/sec: 4865
Time: 2022-12-01 14:18:06.552858364 UTC, Reqestes/sec: 4245, Avg Reqestes/sec: 4555
Time: 2022-12-01 14:18:07.553068613 UTC, Reqestes/sec: 3907, Avg Reqestes/sec: 4231
Time: 2022-12-01 14:18:08.553222019 UTC, Reqestes/sec: 3887, Avg Reqestes/sec: 4059
Time: 2022-12-01 14:18:09.553266067 UTC, Reqestes/sec: 3841, Avg Reqestes/sec: 3950
Time: 2022-12-01 14:18:10.553431803 UTC, Reqestes/sec: 3935, Avg Reqestes/sec: 3942
Time: 2022-12-01 14:18:11.553571893 UTC, Reqestes/sec: 3862, Avg Reqestes/sec: 3902
Time: 2022-12-01 14:18:12.553595645 UTC, Reqestes/sec: 3925, Avg Reqestes/sec: 3913
Time: 2022-12-01 14:18:13.553845696 UTC, Reqestes/sec: 3889, Avg Reqestes/sec: 3901
Time: 2022-12-01 14:18:14.554020589 UTC, Reqestes/sec: 3958, Avg Reqestes/sec: 3929
Time: 2022-12-01 14:18:15.554126541 UTC, Reqestes/sec: 4049, Avg Reqestes/sec: 3989
Server down at time: 2022-12-01 14:18:15.860950342 UTC
Time: 2022-12-01 14:18:25.861213320 UTC, Reqestes/sec: 1216, Avg Reqestes/sec: 2602
Time: 2022-12-01 14:18:52.539060946 UTC, Reqestes/sec: 1, Avg Reqestes/sec: 1301
Server down at time: 2022-12-01 14:18:52.539544583 UTC
12-01 14:16:39.861261875 UTC, Reqestes/sec: 4486, Avg Reqestes/sec: 4577
Time: 2022-12-01 14:16:40.877987397 UTC, Reqestes/sec: 5224, Avg Reqestes/sec: 4900
Time: 2022-12-01 14:16:41.878067166 UTC, Reqestes/sec: 4081, Avg Reqestes/sec: 4490
Time: 2022-12-01 14:16:42.879559577 UTC, Reqestes/sec: 4150, Avg Reqestes/sec: 4320
Time: 2022-12-01 14:16:43.879561591 UTC, Reqestes/sec: 4438, Avg Reqestes/sec: 4379
Time: 2022-12-01 14:16:44.879690977 UTC, Reqestes/sec: 4185, Avg Reqestes/sec: 4282
Time: 2022-12-01 14:16:45.909081120 UTC, Reqestes/sec: 4281, Avg Reqestes/sec: 4281
Time: 2022-12-01 14:16:46.961392569 UTC, Reqestes/sec: 4391, Avg Reqestes/sec: 4336
Time: 2022-12-01 14:16:48.153189511 UTC, Reqestes/sec: 5000, Avg Reqestes/sec: 4668
Time: 2022-12-01 14:16:49.153337825 UTC, Reqestes/sec: 5228, Avg Reqestes/sec: 4948
Time: 2022-12-01 14:16:50.153530028 UTC, Reqestes/sec: 4000, Avg Reqestes/sec: 4474
Time: 2022-12-01 14:16:51.153590285 UTC, Reqestes/sec: 3881, Avg Reqestes/sec: 4177
Time: 2022-12-01 14:16:52.153738665 UTC, Reqestes/sec: 4599, Avg Reqestes/sec: 4388
Time: 2022-12-01 14:16:53.153893930 UTC, Reqestes/sec: 4107, Avg Reqestes/sec: 4247
Time: 2022-12-01 14:16:54.153977564 UTC, Reqestes/sec: 4056, Avg Reqestes/sec: 4151
Time: 2022-12-01 14:16:55.154068433 UTC, Reqestes/sec: 4799, Avg Reqestes/sec: 4475
Time: 2022-12-01 14:16:56.154104059 UTC, Reqestes/sec: 4579, Avg Reqestes/sec: 4527
Time: 2022-12-01 14:16:57.186625613 UTC, Reqestes/sec: 6960, Avg Reqestes/sec: 5743
