Time: 2022-12-01 14:17:19.879595664 UTC, Reqestes/sec: 4088, Avg Reqestes/sec: 4140
Time: 2022-12-01 14:17:20.879742040 UTC, Reqestes/sec: 4256, Avg Reqestes/sec: 4198
Time: 2022-12-01 14:17:21.879801449 UTC, Reqestes/sec: 4107, Avg Reqestes/sec: 4152
Time: 2022-12-01 14:17:22.879876549 UTC, Reqestes/sec: 4019, Avg Reqestes/sec: 4085
Time: 2022-12-01 14:17:24.114315408 UTC, Reqestes/sec: 4964, Avg Reqestes/sec: 4524
Time: 2022-12-01 14:17:25.114378857 UTC, Reqestes/sec: 5159, Avg Reqestes/sec: 4841
Time: 2022-12-01 14:17:26.114540789 UTC, Reqestes/sec: 4403, Avg Reqestes/sec: 4622
Time: 2022-12-01 14:17:27.114572431 UTC, Reqestes/sec: 4373, Avg Reqestes/sec: 4497
Time: 2022-12-01 14:17:28.114683193 UTC, Reqestes/sec: 4414, Avg Reqestes/sec: 4455
Time: 2022-12-01 14:17:29.114829506 UTC, Reqestes/sec: 4455, Avg Reqestes/sec: 4455
Time: 2022-12-01 14:17:30.114884071 UTC, Reqestes/sec: 4959, Avg Reqestes/sec: 4707
Time: 2022-12-01 14:17:31.114994340 UTC, Reqestes/sec: 4238, Avg Reqestes/sec: 4472
Time: 2022-12-01 14:17:32.119290421 UTC, Reqestes/sec: 4451, Avg Reqestes/sec: 4461
Time: 2022-12-01 14:17:33.115404756 UTC, Reqestes/sec: 4412, Avg Reqestes/sec: 4436
Time: 2022-12-01 14:17:34.115512483 UTC, Reqestes/sec: 4780, Avg Reqestes/sec: 4608
Time: 2022-12-01 14:17:35.123032024 UTC, Reqestes/sec: 4176, Avg Reqestes/sec: 4392
Time: 2022-12-01 14:17:36.123155149 UTC, Reqestes/sec: 4595, Avg Reqestes/sec: 4493
Time: 2022-12-01 14:17:37.123237968 UTC, Reqestes/sec: 4371, Avg Reqestes/sec: 4432
Time: 2022-12-01 14:17:38.123358577 UTC, Reqestes/sec: 4247, Avg Reqestes/sec: 4339
Time: 2022-12-01 14:17:39.123421325 UTC, Reqestes/sec: 4928, Avg Reqestes/sec: 4633
Time: 2022-12-01 14:17:40.123559919 UTC, Reqestes/sec: 4498, Avg Reqestes/sec: 4565
Time: 2022-12-01 14:17:41.123983109 UTC, Reqestes/sec: 4565, Avg Reqestes/sec: 4565
Time: 2022-12-01 14:17:42.124433651 UTC, Reqestes/sec: 4202, Avg Reqestes/sec: 4383
Time: 2022-12-01 14:17:43.124499055 UTC, Reqestes/sec: 4366, Avg Reqestes/sec: 4374
Time: 2022-12-01 14:17:44.124548909 UTC, Reqestes/sec: 4884, Avg Reqestes/sec: 4629
Time: 2022-12-01 14:17:45.124674258 UTC, Reqestes/sec: 4069, Avg Reqestes/sec: 4349
Time: 2022-12-01 14:17:46.124793177 UTC, Reqestes/sec: 4151, Avg Reqestes/sec: 4250
Time: 2022-12-01 14:17:47.124853390 UTC, Reqestes/sec: 4423, Avg Reqestes/sec: 4336
Time: 2022-12-01 14:17:48.207201952 UTC, Reqestes/sec: 4641, Avg Reqestes/sec: 4488
Time: 2022-12-01 14:17:49.207293979 UTC, Reqestes/sec: 4475, Avg Reqestes/sec: 4481
Time: 2022-12-01 14:17:50.207344970 UTC, Reqestes/sec: 4418, Avg Reqestes/sec: 4449
Time: 2022-12-01 14:17:51.207402518 UTC, Reqestes/sec: 4903, Avg Reqestes/sec: 4676
Time: 2022-12-01 14:17:52.213199900 UTC, Reqestes/sec: 5903, Avg Reqestes/sec: 5289
Time: 2022-12-01 14:17:53.213206713 UTC, Reqestes/sec: 6971, Avg Reqestes/sec: 6130
Time: 2022-12-01 14:17:54.213251764 UTC, Reqestes/sec: 6222, Avg Reqestes/sec: 6176
Time: 2022-12-01 14:17:55.213256609 UTC, Reqestes/sec: 6948, Avg Reqestes/sec: 6562
Time: 2022-12-01 14:17:56.213295814 UTC, Reqestes/sec: 6994, Avg Reqestes/sec: 6778
Time: 2022-12-01 14:17:57.213335120 UTC, Reqestes/sec: 6792, Avg Reqestes/sec: 6785
Time: 2022-12-01 14:17:58.213358221 UTC, Reqestes/sec: 6963, Avg Reqestes/sec: 6874
Time: 2022-12-01 14:17:59.347224290 UTC, Reqestes/sec: 6840, Avg Reqestes/sec: 6857
Time: 2022-12-01 14:18:00.347238312 UTC, Reqestes/sec: 7038, Avg Reqestes/sec: 6947
Time: 2022-12-01 14:18:01.352178731 UTC, Reqestes/sec: 6478, Avg Reqestes/sec: 6712
Time: 2022-12-01 14:18:02.352374520 UTC, Reqestes/sec: 4502, Avg Reqestes/sec: 5607
Time: 2022-12-01 14:18:03.461448076 UTC, Reqestes/sec: 5009, Avg Reqestes/sec: 5308
Time: 2022-12-01 14:18:04.552388135 UTC, Reqestes/sec: 4723, Avg Reqestes/sec: 5015
Time: 2022-12-01 14:18:05.552437043 UTC, Reqestes/sec: 4997, Avg Reqestes/sec: 5006
Server down at time: 2022-12-01 14:18:05.860703190 UTC
Time: 2022-12-01 14:18:15.860778552 UTC, Reqestes/sec: 1498, Avg Reqestes/sec: 3252
Time: 2022-12-01 14:18:16.860848916 UTC, Reqestes/sec: 7364, Avg Reqestes/sec: 5308
Time: 2022-12-01 14:18:17.860903234 UTC, Reqestes/sec: 6893, Avg Reqestes/sec: 6100
Time: 2022-12-01 14:18:52.538386931 UTC, Reqestes/sec: 39, Avg Reqestes/sec: 3069
-12-01 14:16:22.112098829 UTC, Reqestes/sec: 4108, Avg Reqestes/sec: 4105
Time: 2022-12-01 14:16:23.112168486 UTC, Reqestes/sec: 4109, Avg Reqestes/sec: 4107
Time: 2022-12-01 14:16:24.112212337 UTC, Reqestes/sec: 4444, Avg Reqestes/sec: 4275
Time: 2022-12-01 14:16:25.112379203 UTC, Reqestes/sec: 4596, Avg Reqestes/sec: 4435
Time: 2022-12-01 14:16:26.112553587 UTC, Reqestes/sec: 4520, Avg Reqestes/sec: 4477
Time: 2022-12-01 14:16:27.164586151 UTC, Reqestes/sec: 4390, Avg Reqestes/sec: 4433
Time: 2022-12-01 14:16:28.264636461 UTC, Reqestes/sec: 5235, Avg Reqestes/sec: 4834
Time: 2022-12-01 14:16:29.267525236 UTC, Reqestes/sec: 4935, Avg Reqestes/sec: 4884
Time: 2022-12-01 14:16:30.267639834 UTC, Reqestes/sec: 4479, Avg Reqestes/sec: 4681
Time: 2022-12-01 14:16:31.267783071 UTC, Reqestes/sec: 4506, Avg Reqestes/sec: 4593
Time: 2022-12-01 14:16:32.267932125 UTC, Reqestes/sec: 4958, Avg Reqestes/sec: 4775
Time: 2022-12-01 14:16:33.268973505 UTC, Reqestes/sec: 4950, Avg Reqestes/sec: 4862
Time: 2022-12-01 14:16:34.302470693 UTC, Reqestes/sec: 5014, Avg Reqestes/sec: 4938
Time: 2022-12-01 14:16:35.302577267 UTC, Reqestes/sec: 4479, Avg Reqestes/sec: 4708
Time: 2022-12-01 14:16:36.302716336 UTC, Reqestes/sec: 4330, Avg Reqestes/sec: 4519
Time: 2022-12-01 14:16:37.302881367 UTC, Reqestes/sec: 4990, Avg Reqestes/sec: 4754
Time: 2022-12-01 14:16:38.302956469 UTC, Reqestes/sec: 5051, Avg Reqestes/sec: 4902
Time: 2022-12-01 14:16:39.303077269 UTC, Reqestes/sec: 4671, Avg Reqestes/sec: 4786
Time: 2022-12-01 14:16:40.303322428 UTC, Reqestes/sec: 4496, Avg Reqestes/sec: 4641
Time: 2022-12-01 14:16:41.303346964 UTC, Reqestes/sec: 3917, Avg Reqestes/sec: 4279
Time: 2022-12-01 14:16:42.303392866 UTC, Reqestes/sec: 5070, Avg Reqestes/sec: 4674
Time: 2022-12-01 14:16:43.396762051 UTC, Reqestes/sec: 4046, Avg Reqestes/sec: 4360
Time: 2022-12-01 14:16:44.490225125 UTC, Reqestes/sec: 4563, Avg Reqestes/sec: 4461
Time: 2022-12-01 14:16:45.490381456 UTC, Reqestes/sec: 5072, Avg Reqestes/sec: 4766
Time: 2022-12-01 14:16:46.490410392 UTC, Reqestes/sec: 4217, Avg Reqestes/sec: 4491
Time: 2022-12-01 14:16:47.490606949 UTC, Reqestes/sec: 4149, Avg Reqestes/sec: 4320
Time: 2022-12-01 14:16:48.490691625 UTC, Reqestes/sec: 4115, Avg Reqestes/sec: 4217
Time: 2022-12-01 14:16:49.490943351 UTC, Reqestes/sec: 3935, Avg Reqestes/sec: 4076
Time: 2022-12-01 14:16:50.491059176 UTC, Reqestes/sec: 5017, Avg Reqestes/sec: 4546
Time: 2022-12-01 14:16:51.491157147 UTC, Reqestes/sec: 3866, Avg Reqestes/sec: 4206
Time: 2022-12-01 14:16:52.626394177 UTC, Reqestes/sec: 4529, Avg Reqestes/sec: 4367
Time: 2022-12-01 14:16:53.626463873 UTC, Reqestes/sec: 4855, Avg Reqestes/sec: 4611
Time: 2022-12-01 14:16:54.626501127 UTC, Reqestes/sec: 4368, Avg Reqestes/sec: 4489
Time: 2022-12-01 14:16:55.635338936 UTC, Reqestes/sec: 4619, Avg Reqestes/sec: 4554
Server down at time: 2022-12-01 14:16:55.860349815 UTC
Time: 2022-12-01 14:17:05.860426817 UTC, Reqestes/sec: 1216, Avg Reqestes/sec: 2885
Time: 2022-12-01 14:17:06.876091755 UTC, Reqestes/sec: 4855, Avg Reqestes/sec: 3870
Time: 2022-12-01 14:17:07.876214800 UTC, Reqestes/sec: 4466, Avg Reqestes/sec: 4168
Time: 2022-12-01 14:17:08.883290222 UTC, Reqestes/sec: 3891, Avg Reqestes/sec: 4029
Time: 2022-12-01 14:17:09.876624252 UTC, Reqestes/sec: 4014, Avg Reqestes/sec: 4021
Time: 2022-12-01 14:17:10.876812551 UTC, Reqestes/sec: 3991, Avg Reqestes/sec: 4006
Time: 2022-12-01 14:17:11.877000555 UTC, Reqestes/sec: 3861, Avg Reqestes/sec: 3933
Time: 2022-12-01 14:17:12.877222120 UTC, Reqestes/sec: 3993, Avg Reqestes/sec: 3963
Time: 2022-12-01 14:17:13.877428566 UTC, Reqestes/sec: 3999, Avg Reqestes/sec: 3981
Time: 2022-12-01 14:17:14.877653355 UTC, Reqestes/sec: 3963, Avg Reqestes/sec: 3972
Time: 2022-12-01 14:17:15.877690534 UTC, Reqestes/sec: 3971, Avg Reqestes/sec: 3971
Time: 2022-12-01 14:17:16.879355777 UTC, Reqestes/sec: 4072, Avg Reqestes/sec: 4021
Time: 2022-12-01 14:17:17.879438331 UTC, Reqestes/sec: 3909, Avg Reqestes/sec: 3965
Time: 2022-12-01 14:17:18.879504793 UTC, Reqestes/sec: 4421, Avg Reqestes/sec: 4193
